,ID,Cluster
1568,766194053,4
1569,766194054,3
1570,766194055,3
1571,766194056,2
1572,766194057,3
1573,766194058,4
1574,766194059,3
1575,766194060,4
1576,766194061,1
1577,766194062,3
1578,766194063,2
1579,766194064,3
1580,766194065,4
1581,766194066,0
1582,766194067,3
1583,766194068,1
1584,766194069,4
1585,766194070,0
1586,766194071,3
1587,766194072,4
1588,766194073,4
1589,766194074,1
1590,766194075,3
1591,766194076,3
1592,766194077,3
1593,766194078,3
1594,766194079,1
1595,766194080,0
1596,766194081,0
1597,766194082,4
1598,766194083,3
1599,766194084,3
1600,766194085,4
1601,766194086,0
1602,766194087,3
1603,766194088,4
1604,766194089,3
1605,766194090,4
1606,766194091,4
1607,766194092,4
1608,766194093,2
1609,766194094,2
1610,766194095,1
1611,766194096,0
1612,766194097,2
1613,766194098,2
1614,766194099,1
1615,766194100,3
1616,766194101,2
1617,766194102,4
1618,766194103,3
1619,766194104,3
1620,766194105,1
1621,766194106,2
1622,766194107,3
1623,766194108,2
1624,766194109,2
1625,766194110,0
1626,766194111,3
1627,766194112,3
1628,766194113,4
1629,766194114,4
1630,766194115,2
1631,766194116,3
1632,766194117,4
1633,766194118,4
1634,766194119,4
1635,766194120,0
1636,766194121,4
1637,766194122,4
1638,766194123,3
1639,766194124,2
1640,766194125,3
1641,766194126,0
1642,766194127,0
1643,766194128,4
1644,766194129,3
1645,766194130,3
1646,766194131,4
1647,766194132,4
1648,766194133,4
1649,766194134,3
1650,766194135,2
1651,766194136,4
1652,766194137,2
1653,766194138,4
1654,766194139,4
1655,766194140,1
1656,766194141,0
1657,766194142,2
1658,766194143,0
1659,766194144,0
1660,766194145,3
