,ID,Cluster
1305,766193790,1
1306,766193791,3
1307,766193792,1
1308,766193793,1
1309,766193794,1
1310,766193795,3
1311,766193796,3
1312,766193797,1
1313,766193798,1
1314,766193799,3
1315,766193800,3
1316,766193801,3
1317,766193802,3
1318,766193803,3
1319,766193804,3
1320,766193805,3
1321,766193806,3
1322,766193807,3
1323,766193808,1
1324,766193809,0
1325,766193810,3
1326,766193811,3
1327,766193812,3
1328,766193813,1
1329,766193814,1
1330,766193815,1
1331,766193816,0
1332,766193817,1
1333,766193818,1
1334,766193819,1
1335,766193820,3
1336,766193821,1
1337,766193822,3
1338,766193823,3
1339,766193824,1
1340,766193825,1
1341,766193826,3
1342,766193827,3
1343,766193828,3
1344,766193829,3
1345,766193830,0
1346,766193831,3
1347,766193832,3
1348,766193833,1
1349,766193834,1
1350,766193835,3
1351,766193836,1
1352,766193837,1
1353,766193838,3
1354,766193839,1
1355,766193840,1
1356,766193841,3
1357,766193842,1
1358,766193843,3
1359,766193844,3
1360,766193845,3
1361,766193846,3
1362,766193847,3
1363,766193848,1
1364,766193849,1
1365,766193850,1
1366,766193851,3
1367,766193852,0
1368,766193853,3
1369,766193854,1
1370,766193855,1
1371,766193856,1
1372,766193857,1
1373,766193858,3
1374,766193859,1
1375,766193860,3
1376,766193861,3
1377,766193862,3
1378,766193863,3
1379,766193864,3
1380,766193865,3
1381,766193866,0
1382,766193867,3
1383,766193868,1
1384,766193869,1
1385,766193870,3
1386,766193871,3
1387,766193872,3
1388,766193873,0
1389,766193874,1
1390,766193875,1
1391,766193876,3
1392,766193877,3
1393,766193878,3
1394,766193879,3
1395,766193880,3
1396,766193881,1
1397,766193882,3
1398,766193883,3
1399,766193884,1
1400,766193885,1
1401,766193886,3
1402,766193887,1
1403,766193888,3
1404,766193889,3
1405,766193890,3
1406,766193891,3
1407,766193892,3
1408,766193893,3
1409,766193894,1
1410,766193895,1
1411,766193896,1
1412,766193897,3
1413,766193898,1
1414,766193899,3
1415,766193900,1
1416,766193901,1
1417,766193902,3
1418,766193903,1
1419,766193904,1
1420,766193905,1
1421,766193906,0
1422,766193907,0
1423,766193908,1
1424,766193909,3
1425,766193910,3
1426,766193911,3
1427,766193912,3
1428,766193913,1
1429,766193914,1
1430,766193915,3
1431,766193916,3
1432,766193917,3
1433,766193918,3
1434,766193919,3
1435,766193920,3
1436,766193921,3
1437,766193922,3
1438,766193923,3
1439,766193924,1
1440,766193925,1
1441,766193926,3
1442,766193927,1
1443,766193928,3
1444,766193929,3
1445,766193930,3
1446,766193931,3
1447,766193932,1
1448,766193933,3
1449,766193934,1
1450,766193935,3
1451,766193936,3
1452,766193937,1
1453,766193938,3
1454,766193939,3
1455,766193940,3
1456,766193941,3
1457,766193942,3
1458,766193943,3
1459,766193944,1
1460,766193945,3
1461,766193946,3
1462,766193947,3
1463,766193948,1
1464,766193949,3
1465,766193950,3
1466,766193951,1
1467,766193952,0
1468,766193953,3
1469,766193954,1
1470,766193955,1
1471,766193956,1
1472,766193957,1
1473,766193958,3
1474,766193959,3
1475,766193960,1
1476,766193961,3
1477,766193962,3
1478,766193963,3
1479,766193964,1
1480,766193965,3
1481,766193966,3
1482,766193967,3
1483,766193968,0
1484,766193969,3
1485,766193970,1
1486,766193971,3
1487,766193972,1
1488,766193973,0
1489,766193974,3
1490,766193975,3
1491,766193976,3
1492,766193977,3
1493,766193978,3
1494,766193979,3
1495,766193980,3
1496,766193981,3
1497,766193982,1
1498,766193983,1
1499,766193984,3
1500,766193985,3
1501,766193986,0
1502,766193987,1
1503,766193988,1
1504,766193989,3
1505,766193990,3
1506,766193991,1
1507,766193992,3
1508,766193993,3
1509,766193994,3
1510,766193995,3
1511,766193996,3
1512,766193997,3
1513,766193998,1
1514,766193999,1
1515,766194000,1
1516,766194001,1
1517,766194002,3
1518,766194003,3
1519,766194004,1
1520,766194005,1
1521,766194006,1
1522,766194007,1
1523,766194008,1
1524,766194009,3
1525,766194010,1
1526,766194011,3
1527,766194012,3
1528,766194013,3
1529,766194014,3
1530,766194015,3
1531,766194016,1
1532,766194017,3
1533,766194018,3
1534,766194019,3
1535,766194020,1
1536,766194021,1
1537,766194022,3
1538,766194023,1
1539,766194024,1
1540,766194025,3
1541,766194026,1
1542,766194027,3
1543,766194028,3
1544,766194029,1
1545,766194030,3
1546,766194031,1
1547,766194032,3
1548,766194033,3
1549,766194034,3
1550,766194035,1
1551,766194036,3
1552,766194037,1
1553,766194038,3
1554,766194039,3
1555,766194040,1
1556,766194041,3
1557,766194042,1
1558,766194043,3
1559,766194044,3
1560,766194045,1
1561,766194046,3
1562,766194047,3
1563,766194048,3
1564,766194049,3
1565,766194050,1
1566,766194051,3
1567,766194052,1
1568,766194053,1
1569,766194054,1
1570,766194055,1
1571,766194056,3
1572,766194057,3
1573,766194058,1
1574,766194059,1
1575,766194060,3
1576,766194061,1
1577,766194062,1
1578,766194063,1
1579,766194064,3
1580,766194065,3
1581,766194066,3
1582,766194067,0
1583,766194068,1
1584,766194069,3
1585,766194070,0
1586,766194071,3
1587,766194072,3
1588,766194073,3
1589,766194074,1
1590,766194075,3
